filename,text
A_0,A
A_1,A
A_2,A
A_3,A
A_4,A
A_5,A
A_6,A
A_7,A
A_8,A
A_9,A
A_10,A
A_11,A
A_12,A
A_13,A
A_14,A
A_15,A
A_16,A
A_17,A
A_18,A
A_19,A
A_20,A
A_21,A
A_22,A
A_23,A
A_24,A
A_25,A
A_26,A
A_27,A
A_28,A
A_29,A
A_30,A
A_31,A
A_32,A
A_33,A
A_34,A
A_35,A
A_36,A
A_37,A
A_38,A
A_39,A
A_40,A
A_41,A
A_42,A
A_43,A
A_44,A
A_45,A
A_46,A
A_47,A
A_48,A
A_49,A
A_50,A
A_51,A
A_52,A
A_53,A
A_54,A
A_55,A
A_56,A
A_57,A
A_58,A
A_59,A
A_60,A
A_61,A
A_62,A
A_63,A
A_64,A
A_65,A
A_66,A
A_67,A
A_68,A
A_69,A
A_70,A
A_71,A
A_72,A
A_73,A
A_74,A
A_75,A
A_76,A
A_77,A
A_78,A
A_79,A
A_80,A
A_81,A
A_82,A
A_83,A
A_84,A
A_85,A
A_86,A
A_87,A
A_88,A
A_89,A
A_90,A
A_91,A
A_92,A
A_93,A
A_94,A
A_95,A
A_96,A
A_97,A
A_98,A
A_99,A
A_100,A
A_101,A
A_102,A
A_103,A
A_104,A
A_105,A
A_106,A
A_107,A
A_108,A
A_109,A
A_110,A
A_111,A
A_112,A
A_113,A
A_114,A
A_115,A
A_116,A
A_117,A
A_118,A
A_119,A
A_120,A
A_121,A
A_122,A
A_123,A
A_124,A
A_125,A
A_126,A
A_127,A
A_128,A
A_129,A
A_130,A
A_131,A
A_132,A
A_133,A
A_134,A
A_135,A
A_136,A
A_137,A
A_138,A
A_139,A
A_140,A
A_141,A
A_142,A
A_143,A
A_144,A
A_145,A
A_146,A
A_147,A
A_148,A
A_149,A
A_150,a
Ba_0,Ba
Ba_1,Ba
Ba_2,Ba
Ba_3,Ba
Ba_4,Ba
Ba_5,Ba
Ba_6,Ba
Ba_7,Ba
Ba_8,Ba
Ba_9,Ba
Ba_10,Ba
Ba_11,Ba
Ba_12,Ba
Ba_13,Ba
Ba_14,Ba
Ba_15,Ba
Ba_16,Ba
Ba_17,Ba
Ba_18,Ba
Ba_19,Ba
Ba_20,Ba
Ba_21,Ba
Ba_22,Ba
Ba_23,Ba
Ba_24,Ba
Ba_25,Ba
Ba_26,Ba
Ba_27,Ba
Ba_28,Ba
Ba_29,Ba
Ba_30,Ba
Ba_31,Ba
Ba_32,Ba
Ba_33,Ba
Ba_34,Ba
Ba_35,Ba
Ba_36,Ba
Ba_37,Ba
Ba_38,Ba
Ba_39,Ba
Ba_40,Ba
Ba_41,Ba
Ba_42,Ba
Ba_43,Ba
Ba_44,Ba
Ba_45,Ba
Ba_46,Ba
Ba_47,Ba
Ba_48,Ba
Ba_49,Ba
Ba_50,Ba
Ba_51,Ba
Ba_52,Ba
Ba_53,Ba
Ba_54,Ba
Ba_55,Ba
Ba_56,Ba
Ba_57,Ba
Ba_58,Ba
Ba_59,Ba
Ba_60,Ba
Ba_61,Ba
Ba_62,Ba
Ba_63,Ba
Ba_64,Ba
Ba_65,Ba
Ba_66,Ba
Ba_67,Ba
Ba_68,Ba
Ba_69,Ba
Ba_70,Ba
Ba_71,Ba
Ba_72,Ba
Ba_73,Ba
Ba_74,Ba
Ba_75,Ba
Ba_76,Ba
Ba_77,Ba
Ba_78,Ba
Ba_79,Ba
Ba_80,Ba
Ba_81,Ba
Ba_82,Ba
Ba_83,Ba
Ba_84,Ba
Ba_85,Ba
Ba_86,Ba
Ba_87,Ba
Ba_88,Ba
Ba_89,Ba
Ba_90,Ba
Ba_91,Ba
Ba_92,Ba
Ba_93,Ba
Ba_94,Ba
Ba_95,Ba
Ba_96,Ba
Ba_97,Ba
Ba_98,Ba
Ba_99,Ba
Ba_100,Ba
Ba_101,Ba
Ba_102,Ba
Ba_103,Ba
Ba_104,Ba
Ba_105,Ba
Ba_106,Ba
Ba_107,Ba
Ba_108,Ba
Ba_109,Ba
Ba_110,Ba
Ba_111,Ba
Ba_112,Ba
Ba_113,Ba
Ba_114,Ba
Ba_115,Ba
Ba_116,Ba
Ba_117,Ba
Ba_118,Ba
Ba_119,Ba
Ba_120,Ba
Ba_121,Ba
Ba_122,Ba
Ba_123,Ba
Ba_124,Ba
Ba_125,Ba
Ba_126,Ba
Ba_127,Ba
Ba_128,Ba
Ba_129,Ba
Ba_130,Ba
Ba_131,Ba
Ba_132,Ba
Ba_133,Ba
Ba_134,Ba
Ba_135,Ba
Ba_136,Ba
Ba_137,Ba
Ba_138,Ba
Ba_139,Ba
Ba_140,Ba
Ba_141,Ba
Ba_142,Ba
Ba_143,Ba
Ba_144,Ba
Ba_145,Ba
Ba_146,Ba
Ba_147,Ba
Ba_148,Ba
Ba_149,Ba
Ba_150,Ba
Da_0,Da
Da_1,Da
Da_2,Da
Da_3,Da
Da_4,Da
Da_5,Da
Da_6,Da
Da_7,Da
Da_8,Da
Da_9,Da
Da_10,Da
Da_11,Da
Da_12,Da
Da_13,Da
Da_14,Da
Da_15,Da
Da_16,Da
Da_17,Da
Da_18,Da
Da_19,Da
Da_20,Da
Da_21,Da
Da_22,Da
Da_23,Da
Da_24,Da
Da_25,Da
Da_26,Da
Da_27,Da
Da_28,Da
Da_29,Da
Da_30,Da
Da_31,Da
Da_32,Da
Da_33,Da
Da_34,Da
Da_35,Da
Da_36,Da
Da_37,Da
Da_38,Da
Da_39,Da
Da_40,Da
Da_41,Da
Da_42,Da
Da_43,Da
Da_44,Da
Da_45,Da
Da_46,Da
Da_47,Da
Da_48,Da
Da_49,Da
Da_50,Da
Da_51,Da
Da_52,Da
Da_53,Da
Da_54,Da
Da_55,Da
Da_56,Da
Da_57,Da
Da_58,Da
Da_59,Da
Da_60,Da
Da_61,Da
Da_62,Da
Da_63,Da
Da_64,Da
Da_65,Da
Da_66,Da
Da_67,Da
Da_68,Da
Da_69,Da
Da_70,Da
Da_71,Da
Da_72,Da
Da_73,Da
Da_74,Da
Da_75,Da
Da_76,Da
Da_77,Da
Da_78,Da
Da_79,Da
Da_80,Da
Da_81,Da
Da_82,Da
Da_83,Da
Da_84,Da
Da_85,Da
Da_86,Da
Da_87,Da
Da_88,Da
Da_89,Da
Da_90,Da
Da_91,Da
Da_92,Da
Da_93,Da
Da_94,Da
Da_95,Da
Da_96,Da
Da_97,Da
Da_98,Da
Da_99,Da
Da_100,Da
Da_101,Da
Da_102,Da
Da_103,Da
Da_104,Da
Da_105,Da
Da_106,Da
Da_107,Da
Da_108,Da
Da_109,Da
Da_110,Da
Da_111,Da
Da_112,Da
Da_113,Da
Da_114,Da
Da_115,Da
Da_116,Da
Da_117,Da
Da_118,Da
Da_119,Da
Da_120,Da
Da_121,Da
Da_122,Da
Da_123,Da
Da_124,Da
Da_125,Da
Da_126,Da
Da_127,Da
Da_128,Da
Da_129,Da
Da_130,Da
Da_131,Da
Da_132,Da
Da_133,Da
Da_134,Da
Da_135,Da
